1,0.0024,0,0.064172,0.064172,1,20,1500,6,20,5,1e-06,14,6
1,0.0138,0,0.202691,0.202691,1,20,1500,6,20,5,3.16228e-06,14,6
1,0.0744,0,0.249208,0.249208,1,20,1500,6,20,5,1e-05,14,6
1,0.2328,0,0.258505,0.258505,1,20,1500,6,20,5,3.16228e-05,14,6
0.998239,0.6804,0.000163068,0.262871,0.263034,1,20,1500,6,20,5,0.0001,14,6
0.994302,2.094,0.00245963,0.271088,0.273548,1,20,1500,6,20,5,0.000316228,14,6
0.978029,6.6504,0.00653986,0.303206,0.309746,1,20,1500,6,20,5,0.001,14,6
0.815684,20.8944,0.142262,0.55016,0.692422,1,20,1500,6,20,5,0.00316228,14,6
0.76921,38.8374,5875.61,1.54242,5877.15,1,20,1500,6,20,5,0.01,14,6
0.770063,38.856,11613.7,1.5422,11615.2,1,20,1500,6,20,5,0.0316228,14,6
0.768425,38.8116,13450.1,1.54409,13451.7,1,20,1500,6,20,5,0.1,14,6
