1000 1000 0 0 0 25
1000 1000 0 0 0 26
1000 1000 0 0 0 27
1000 1000 0 0 0 28
1000 1000 0 0 0 29
1000 1000 0 0 0 30
1000 1000 0 0 0 31
1000 1000 0 0 0 32
1000 1000 0 0 0 33
1000 1000 0 0 0 34
1000 1000 0 0 0 35
1000 1000 0 0 0 36
1000 1000 0 0 0 37
1000 1000 0 0 0 38
1000 1000 0 0 0 39
1000 1000 0 0 0 40
1000 1000 0 0 0 41
1000 1000 0 0 0 42
1000 999 1 0.001 0.00195902 43
1000 998 2 0.002 0.00276909 44
1000 990 10 0.01 0.006167 45
1000 985 15 0.015 0.0075339 46
1000 976 24 0.024 0.00948608 47
1000 960 40 0.04 0.0121457 48
1000 943 57 0.057 0.0143698 49
1000 917 83 0.083 0.0170994 50
1000 883 117 0.117 0.0199218 51
1000 840 160 0.16 0.0227225 52
1000 803 197 0.197 0.0246517 53
1000 748 252 0.252 0.0269096 54
1000 675 325 0.325 0.0290302 55
1000 606 394 0.394 0.0302859 56
1000 520 480 0.48 0.0309655 57
1000 425 575 0.575 0.0306397 58
1000 336 664 0.664 0.0292759 59
1000 246 754 0.754 0.0266937 60
1000 170 830 0.83 0.023282 61
1000 113 887 0.887 0.0196226 62
1000 63 937 0.937 0.015059 63
1000 42 958 0.958 0.0124326 64
1000 15 985 0.985 0.0075339 65
1000 9 991 0.991 0.00585348 66
1000 3 997 0.997 0.00338972 67
1000 2 998 0.998 0.00276909 68
1000 1 999 0.999 0.00195902 69
1000 0 1000 1 0 70
1000 0 1000 1 0 71
1000 0 1000 1 0 72
1000 0 1000 1 0 73
1000 0 1000 1 0 74
1000 0 1000 1 0 75
1000 0 1000 1 0 76
1000 0 1000 1 0 77
1000 0 1000 1 0 78
1000 0 1000 1 0 79
