1,0.0024,0,0.064172,0.064172,1,20,1500,6,20,5,1e-06,14,6
1,0.0138,0,0.203343,0.203343,1,20,1500,6,20,5,3.16228e-06,14,6
1,0.0744,0,0.249046,0.249046,1,20,1500,6,20,5,1e-05,14,6
1,0.2328,0,0.258113,0.258113,1,20,1500,6,20,5,3.16228e-05,14,6
1,0.6804,0.000163068,0.261768,0.261931,1,20,1500,6,20,5,0.0001,14,6
0.997143,2.094,0.0013941,0.269174,0.270568,1,20,1500,6,20,5,0.000316228,14,6
0.990881,6.6504,0.00609237,0.294124,0.300216,1,20,1500,6,20,5,0.001,14,6
0.921833,20.895,0.0866868,0.46219,0.548877,1,20,1500,6,20,5,0.00316228,14,6
0.650036,31.6764,7420.95,1.89354,7422.84,1,20,1500,6,20,5,0.01,14,6
0.65044,31.6668,12123.7,1.89405,12125.6,1,20,1500,6,20,5,0.0316228,14,6
0.649337,31.6692,13622.1,1.89286,13624,1,20,1500,6,20,5,0.1,14,6
