1,0.0024,0,0.064172,0.064172,1,20,1500,6,20,5,1e-06,15,6
1,0.0138,0,0.203734,0.203734,1,20,1500,6,20,5,3.16228e-06,15,6
1,0.0744,0,0.249579,0.249579,1,20,1500,6,20,5,1e-05,15,6
1,0.2328,0,0.258291,0.258291,1,20,1500,6,20,5,3.16228e-05,15,6
1,0.6804,0.000168359,0.262752,0.262921,1,20,1500,6,20,5,0.0001,15,6
0.997713,2.094,0.0013843,0.270374,0.271758,1,20,1500,6,20,5,0.000316228,15,6
0.993368,6.6504,0.00620567,0.297803,0.304008,1,20,1500,6,20,5,0.001,15,6
0.954162,20.895,0.0734739,0.457182,0.530656,1,20,1500,6,20,5,0.00316228,15,6
0.734724,33.8442,6949.02,1.7726,6950.8,1,20,1500,6,20,5,0.01,15,6
0.738381,33.9258,11965.2,1.76824,11967,1,20,1500,6,20,5,0.0316228,15,6
0.736353,33.822,13587.3,1.77352,13589.1,1,20,1500,6,20,5,0.1,15,6
