1,0.0024,0,0.064172,0.064172,1,20,1500,6,20,5,1e-06,15,6
1,0.0138,0,0.203734,0.203734,1,20,1500,6,20,5,3.16228e-06,15,6
1,0.0744,0,0.249579,0.249579,1,20,1500,6,20,5,1e-05,15,6
1,0.2328,0,0.258337,0.258337,1,20,1500,6,20,5,3.16228e-05,15,6
1,0.6804,0.000168359,0.262554,0.262722,1,20,1500,6,20,5,0.0001,15,6
0.997713,2.094,0.00168344,0.270213,0.271897,1,20,1500,6,20,5,0.000316228,15,6
0.992479,6.6504,0.00627425,0.298498,0.304773,1,20,1500,6,20,5,0.001,15,6
0.953327,20.8956,0.0773185,0.458428,0.535747,1,20,1500,6,20,5,0.00316228,15,6
0.732598,33.759,6970.22,1.77704,6972,1,20,1500,6,20,5,0.01,15,6
0.734879,33.7896,11976.7,1.77512,11978.5,1,20,1500,6,20,5,0.0316228,15,6
0.735828,33.8628,13565.5,1.76958,13567.2,1,20,1500,6,20,5,0.1,15,6
